Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value
SARS-CoV-2 Zêta - P.2,840533019.0,SNOMED,virus,,,,,,,,,,,,,,305
SRAS-CoV-2 Alpha - B.1.1.7,840533020.0,SNOMED,virus,,,,,,,,,,,,,,306
Antigène SRAS-CoV-2,840536004.0,SNOMED,virus (substance),,,,,,,,,,,,,,307
Anticorps IgG SRAS-CoV-2,63000000000000.0,SNOMED,virus (substance),,,,,,,,,,,,,,308
Anticorps IgG/IgM contre le SRAS-CoV-2,840535000.0,SNOMED,virus (substance),,,,,,,,,,,,,,309
Anticorps IgM SRAS-CoV-2,50600000000000.0,SNOMED,virus (substance),,,,,,,,,,,,,,310
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,,,,,,,,,,,,,311
Salmonelle,27268008.0,SNOMED,bacteria,,,,,,,,,,,,,,312
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,,,,,,,,,,,,,313
Sapovirus,407362002.0,SNOMED,virus,,,,,,,,,,,,,,314
Scédosporium,31901009.0,SNOMED,fungi,,,,,,,,,,,,,,315
Schistosome,53583001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,316
Schistosoma guineensis,,,"parasite, helminth",,,,,,,,,,,,,,317
Schistosoma hématobium,3294004.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,318
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,319
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,320
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,321
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,322
Serratie,42025004.0,SNOMED,bacteria,,,,,,,,,,,,,,323
Serratia liquéfaciens,23787004.0,SNOMED,bacteria,,,,,,,,,,,,,,324
Serratia marcescens,33522002.0,SNOMED,bacteria,,,,,,,,,,,,,,325
Serratia ureilytica,450416004.0,SNOMED,bacteria,,,,,,,,,,,,,,326
Syndrome respiratoire aigu sévère Coronavirus 2,1240000000000000.0,SNOMED,virus,,,,,,,,,,,,,,327
Coronavirus lié au syndrome respiratoire aigu sévère,415360003.0,SNOMED,virus,,,,,,,,,,,,,,328
Syndrome de fièvre sévère avec thrombocytopénie (SFTS),722401001.0,SNOMED,virus,,,,,,,,,,,,1.0,,329
Shigelle,77352002.0,SNOMED,bacteria,,,,,,,,,,,,,,330
Shigella boydii,55462008.0,SNOMED,bacteria,,,,,,,,,,,,,,331
Shigella dysenteriae,43612004.0,SNOMED,bacteria,,,,,,,,,,,,,,332
Shigella flexneri,85729005.0,SNOMED,bacteria,,,,,,,,,,,,,,333
Shigella sonnei,4298009.0,SNOMED,bacteria,,,,,,,,,,,,,,334
Simplexvirus (genre),314797000.0,SNOMED,virus,,,,,,,,,,,,,,335
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,,,,,,,,,,,,,336
Sporothrix schenckii,32662000.0,SNOMED,fungi,,,,,,,,,,,,,,337
Staphylocoque,65119002.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,338
Staphylocoque doré,3092008.0,SNOMED,bacteria,,,,,,,,,,,,,,339
Staphylocoque capitis,40347003.0,SNOMED,bacteria,,,,,,,,,,,,,,340
Staphylocoque caprae,76969000.0,SNOMED,bacteria,,,,,,,,,,,,,,341
Staphylocoque cohnii,66872005.0,SNOMED,bacteria,,,,,,,,,,,,,,342
Staphylocoque épidermidis,60875001.0,SNOMED,bacteria,,,,,,,,,,,,,,343
Staphylocoque hémolytique,83452006.0,SNOMED,bacteria,,,,,,,,,,,,,,344
Staphylocoque hominis,44827007.0,SNOMED,bacteria,,,,,,,,,,,,,,345
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,,,,,,,,,,,,,,346
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,,,,,,,,,,,,,,347
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,,,,,,,,,,,,,,348
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,,,,,,,,,,,,,,349
Staphylocoque simulans,52122005.0,SNOMED,bacteria,,,,,,,,,,,,,,350
Staphylococcus warneri,63550006.0,SNOMED,bacteria,,,,,,,,,,,,,,351
Sténotrophomonas,115656007.0,SNOMED,bacteria,,,,,,,,,,,,,,352
Stenotrophomonas maltophilie,113697002.0,SNOMED,bacteria,,,,,,,,,,,,,,353
Streptocoque,58800005.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,354
Streptocoque alpha-hémolytique,60631002.0,SNOMED,bacteria,,,,,,,,,,,,,,355
Streptocoque angineux,44304009.0,SNOMED,bacteria,,,,,,,,,,,,,,356
Groupe Streptococcus anginosus,415597009.0,SNOMED,bacteria,,,,,,,,,,,,,,357
Streptocoque bêta-hémolytique,53490009.0,SNOMED,bacteria,,,,,,,,,,,,,,358
Streptocoque constellatus,76199005.0,SNOMED,bacteria,,,,,,,,,,,,,,359
Streptocoque dysgalactiae,40812000.0,SNOMED,bacteria,,,,,,,,,,,,,,360
Streptocoque gallolytique,113985000.0,SNOMED,bacteria,,,,,,,,,,,,,,361
Streptocoque intermédiaire,62170002.0,SNOMED,bacteria,,,,,,,,,,,,,,362
Streptocoque mitis,57997003.0,SNOMED,bacteria,,,,,,,,,,,,,,363
Streptocoque oral,19870004.0,SNOMED,bacteria,,,,,,,,,,,,,,364
Streptocoque parasanguinis,113990002.0,SNOMED,bacteria,,,,,,,,,,,,,,365
Streptococcus pneumoniae,9861002.0,SNOMED,bacteria,,,,,,,,,,,,,,366
Streptocoque pyogène,80166006.0,SNOMED,bacteria,,,,,,,,,,,,,,367
Streptocoque salivaire,39888004.0,SNOMED,bacteria,,,,,,,,,,,,,,368
Streptocoque sanguinis,113993000.0,SNOMED,bacteria,,,,,,,,,,,,,,369
Streptocoque viridans,31703004.0,SNOMED,bacteria,,,,,,,,,,,,,,370
Groupe Streptococcus viridans,31703004.0,SNOMED,bacteria,,,,,,,,,,,,,,371
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,372
Tænia saginata,61085008.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,373
Tænia solium,17966003.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,374
Talaromyces marneffei,71825007.0,SNOMED,fungi,,,,,,,,,,,,,,375
Togoviridés,129231002.0,SNOMED,virus,,,,,,,,,,,,,,376
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,377
Toxoplasme,61949005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,378
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,,,,,,,,1.0,,,,379
Trichinelle spirale,16439004.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,380
Trichomonas,3764006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,381
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,382
Trichophyton,88578003.0,SNOMED,fungi,,,,,,,,,,,,,,383
Trichosporon asahii,243475001.0,SNOMED,fungi,,,,,,,,,,,,,,384
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,385
Trypanosome,40740003.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,386
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,387
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,388
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,389
Entérocoque résistant à la vancomycine (ERV),113727004.0,SNOMED,bacteria,,,,,,,,,,,,,,390
Vibrio cholérique,75953000.0,SNOMED,bacteria,,,,,,,,,,,,,,391
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,,,,,,,,,,,,,,392
Vibrio vulnificus,55905000.0,SNOMED,bacteria,,,,,,,,,,,,,,393
Virus du nil occidental,57311007.0,SNOMED,virus,,,,,,,,,,1.0,,1.0,,394
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,395
Levure,62093005.0,SNOMED,fungi,,,,,,,,,,,,,,396
Yersinia pestis,54365000.0,SNOMED,bacteria,,,,,,,,,,,,,,397
Virus Zika,50471002.0,SNOMED,virus,,,,,,,1.0,,,1.0,1.0,,,398
Virus chikungunya,,,virus,,,,,,,1.0,,,,1.0,,,399
Virus de l'Oropouche,,,virus,,,,,,,1.0,,,,,,,400
Virus Ebola du Zaïre (ZEBOV),425092008.0,SNOMED,virus,,,,,,,,,,,,1.0,,401
Virus Ebola du Soudan (SUDV),424116003.0,SNOMED,virus,,,,,,,,,,,,1.0,,402
Virus Ebola de Reston (RESTV),422448009.0,SNOMED,virus,,,,,,,,,,,,1.0,,403
Ebolavirus de la forêt de Taï (TAFV),,SNOMED,virus,,,,,,,,,,,,1.0,,404
Virus Ébola Bundibugyo (BDBV),450597006.0,SNOMED,virus,,,,,,,,,,,,1.0,,405
"Virus de la dengue, type 1",60588009.0,SNOMED,virus,,,,,,,,,,,,,,406
"Virus de la dengue, type 2",41328007.0,SNOMED,virus,,,,,,,,,,,,,,407
"Virus de la dengue, type 3",8467002.0,SNOMED,virus,,,,,,,,,,,,,,408
"Virus de la dengue, type 4",36700002.0,SNOMED,virus,,,,,,,,,,,,,,409
Virus de l'encéphalite à tiques (TBE),32323003.0,SNOMED,virus,,,,,,,,,,,,,,410
Virus de la fièvre jaune,26630006.0,SNOMED,virus,,,,,,,,,,,,1.0,,411
